"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT00579683","Registry for Patients With Acquired Resistance to Small Molecule Kinase Inhibitors in Non-Small-Cell Lung Cancer",,"Completed","No Results Available","Unresectable or Metastatic Non-small Cell Lung Cancer (NSCLC)","Other: Tumor core biopsy for RNA isolation","To compare EGFR gene sequence in patients upon relapse with EGFR gene sequence prior to treatment with small molecule kinase inhibitors.|To identify novel mutations in the tyrosine kinase domain of EGFR in patients with acquired resistance to small molecule kinase inhibitors.|To more precisely characterize the frequency and clinical implications of T790M in patients with acquired resistance to small molecule kinase inhibitors.|To identify novel mechanisms of acquired resistance to EGFR small molecule kinase inhibitors.","Memorial Sloan Kettering Cancer Center","All","Child, Adult, Older Adult",,"228","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","04-103","August 2004","February 2016","February 2016","December 24, 2007",,"February 4, 2016","Memoral Sloan Kettering Cancer Center, Basking Ridge, New Jersey, United States|Memorial Sloan-Kettering Cancer Center @ Suffolk, Commack, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan-Kettering at Mercy Medical Center, Rockville Centre, New York, United States|Memoral Sloan Kettering Cancer Center at Phelps, Sleepy Hollow, New York, United States",,"https://ClinicalTrials.gov/show/NCT00579683"
2,"NCT00671671","Phase 1 Study To Evaluate Antiviral Activity Of Small Molecule Direct Antiviral Agent At Multiple Doses In Subjects With Chronically Infected Hepatitis C Virus.",,"Completed","Has Results","Hepatitis, Chronic|Hepatitis C Virus","Drug: Small Molecule Agent (PF-868554)","Change From Baseline in Plasma Log10 Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) at Day 11 (Cohort A): Full Analysis Set|Change From Baseline in Plasma Log10 Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) at Day 11 (Cohort A): Modified Analysis Set|Change From Baseline in Plasma Log10 Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) at Day 4 (Cohort B): Full Analysis Set|Change From Baseline in Plasma Log10 Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) at Day 4 (Cohort B): Modified Analysis Set|Change From Baseline in Plasma Log10 Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) at Nadir: Full Analysis Set|Change From Baseline in Plasma Log10 Hepatitis C Virus (HCV) Ribonucleic Acid (RNA) at Nadir: Modified Analysis Set|Area Under the Curve From Time Zero to End of Dosing Interval (AUCtau)|Area Under the Curve From Time Zero to Last Quantifiable Concentration (AUClast)|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0 - ∞)]|Plasma Concentration at The End of Dosing Interval (Ctau)|Maximum Observed Plasma Concentration (Cmax)|Time to Reach Maximum Observed Plasma Concentration (Tmax)|Plasma Decay Half-Life (t1/2)","Pfizer","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","20","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","A8121006","April 2008","December 2008","December 2008","May 5, 2008","January 14, 2014","January 14, 2014","Pfizer Investigational Site, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT00671671"
3,"NCT02179671","Immune-Modulated Study of Selected Small Molecules (Gefitinib, AZD9291, or Selumetinib + Docetaxel) or a 1st Immune-Mediated Therapy (IMT; Tremelimumab) With a Sequential Switch to a 2nd IMT (MEDI4736) in Patients With Locally Advanced or Metastatic Non-Small-Cell Lung Cancer",,"Completed","Has Results","Locally Advanced or Metastatic Non-Small-Cell Lung Cancer (Stage IIIB-IV)","Drug: Gefitinib|Drug: AZD9291|Drug: Selumetinib+Docetaxel|Drug: Tremelimumab","Confirmed Complete Response (CR) Rate|Objective Response Rate (ORR)|Progression-free Survival|Duration of Response|Overall Survival","AstraZeneca|Quintiles, Inc.","All","18 Years to 130 Years   (Adult, Older Adult)","Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D4191C00011","July 25, 2014","June 11, 2016","June 11, 2016","July 2, 2014","August 2, 2019","August 2, 2019","Research Site, Goodyear, Arizona, United States|Research Site, Washington, District of Columbia, United States|Research Site, Augusta, Georgia, United States|Research Site, Marietta, Georgia, United States|Research Site, Ashland, Kentucky, United States|Research Site, Saint Louis, Missouri, United States|Research Site, Mineola, New York, United States|Research Site, Huntersville, North Carolina, United States|Research Site, Spokane, Washington, United States|Research Site, Tacoma, Washington, United States",,"https://ClinicalTrials.gov/show/NCT02179671"
4,"NCT02259114","A Dose-Finding Study of Birabresib (MK-8628), a Small Molecule Inhibitor of the Bromodomain and Extra-Terminal (BET) Proteins, in Adults With Selected Advanced Solid Tumors (MK-8628-003)",,"Completed","Has Results","NUT Midline Carcinoma|Triple Negative Breast Cancer|Non-small Cell Lung Cancer With Rearranged ALK Gene/Fusion Protein or KRAS Mutation|Castrate-resistant Prostate Cancer|CRPC|Pancreatic Ductal Adenocarcinoma","Drug: Birabresib","Number of Participants Who Experienced a Dose Limiting Toxicity (DLT) During Cycle 1|Number of Participants Who Experienced at Least One Adverse Event (AE)|Number of Participants Who Discontinued Study Treatment Due to an AE|Best Overall Response as Assessed in Solid Tumors by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) or in Castration-resistant Prostate Cancer (CRPC) by Prostate Cancer Clinical Trials Working Group (PCWG2) Response Criteria|Observed Maximum Plasma Concentration (Cmax) of MK-8628|Time to Cmax (Tmax) of MK-8628|Area Under to Concentration-Time Curve From 0 to Infinity (AUC0-∞) of MK-8628|Volume of Distribution at Steady State (Vdss) of MK-8628|Terminal Half-Life (t1/2) of MK-8628|Total Plasma Clearance (CL) of MK-8628","Oncoethix GmbH","All","18 Years and older   (Adult, Older Adult)","Phase 1","47","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","8628-003|OTX015_108|2014-002680-15|MK-8628-003","October 23, 2014","March 3, 2017","March 3, 2017","October 8, 2014","October 1, 2018","January 26, 2021",,"""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT02259114/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT02259114/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02259114"
5,"NCT02395601","A Study Evaluating CPI-1205 in Patients With B-Cell Lymphomas",,"Completed","No Results Available","B-Cell Lymphoma","Drug: CPI-1205","Frequency of Dose-limiting toxicities (DLTs)|Frequency of adverse events|Pharmacokinetic parameters of CPI-1205: AUC(0-t), AUC(0-inf), AUCtau,ss, Tmax, Cmax, Ctrough, T1/2, Vd/F, CL/F|Pharmacodynamic effects of CPI-1205 in lymphoma tissue: changes in levels of the trimethylated form of lysine residue 27 on histone 3; changes in the expression of genes whose transcription may be altered by EZH2 inhibition|Pharmacodynamic effects of CPI-1205 in bone marrow and in skin: changes in global levels of the trimethylated form of lysine residue 27 on histone 3 (H3K27me3)|Disease response assessment will be performed using the 2014 Lugano Response Criteria for Hodgkin and Non-Hodgkin Lymphoma","Constellation Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 1","41","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1205-01","March 2015","December 2018","December 2018","March 23, 2015",,"September 6, 2019","Horizon Oncology Center, Lafayette, Indiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|John Theurer Cancer Center, Hackensack, New Jersey, United States|The Ohio State University James Cancer Hospital, Columbus, Ohio, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT02395601"
6,"NCT01949883","A Phase 1 Study Evaluating CPI-0610 in Patients With Progressive Lymphoma",,"Completed","No Results Available","Lymphoma","Drug: CPI-0610","Frequency of dose-limiting toxicities (DLTs) associated with CPI-0610 administration during the first cycle (first 21 days) of treatment|Safety and tolerability of CPI-0610 as assessed by: frequency of adverse events and serious adverse events; changes in hematology and clinical chemistry values; changes in physical examination, vital signs, electrocardiogram, ECHO and ECOG score|Pharmacokinetic parameters of CPI-0610: AUC(0-t), AUC(0-inf), AUCtau,ss, Tmax, Cmax, Ctrough, T1/2, Vd/F, CL/F|Pharmacodynamic effects of CPI-0610: Changes in the expression of MYC and other genes in tumor tissue; changes in cellular proliferation and in the extent of apoptosis; changes in tumor metabolism|Changes in the expression of a set of genes in peripheral blood mononuclear cells (PBMCs) that are sensitive to BET inhibition|Anti-lymphoma activity associated with CPI-0610 treatment","Constellation Pharmaceuticals|The Leukemia and Lymphoma Society","All","18 Years and older   (Adult, Older Adult)","Phase 1","64","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0610-01","September 2013","December 2017","February 2018","September 25, 2013",,"September 6, 2019",,,"https://ClinicalTrials.gov/show/NCT01949883"
7,"NCT02157636","A Phase 1 Study Evaluating CPI-0610 in Patients With Previously Treated Multiple Myeloma",,"Completed","No Results Available","Multiple Myeloma","Drug: CPI-0610","Frequency of dose-limiting toxicities (DLTs) associated with CPI-0610 administration during the first cycle (first 21 days) of treatment|Safety and tolerability of CPI-0610 as assessed by: frequency of adverse events and serious adverse events; changes in hematology and clinical chemistry values; changes in physical examination, vital signs, electrocardiogram, ECHO and ECOG score|Pharmacokinetic parameters of CPI-0610: AUC(0-t), AUC(0-inf), AUCtau,ss, Tmax, Cmax, Ctrough, T1/2, Vd/F, CL/F|Pharmacodynamic effects of CPI-0610: Changes in the expression of MYC and other genes in malignant tumor cells; changes in cellular proliferation and in the extent of apoptosis|Changes in the expression of a set of genes in peripheral blood mononuclear cells (PBMCs) that are sensitive to BET inhibition|Anti-myeloma activity associated with CPI-0610 treatment","Constellation Pharmaceuticals|The Leukemia and Lymphoma Society","All","18 Years and older   (Adult, Older Adult)","Phase 1","30","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0610-03","July 2014","November 2017","November 2017","June 6, 2014",,"June 7, 2018",,,"https://ClinicalTrials.gov/show/NCT02157636"
8,"NCT04685811","Evaluation of PSMA Antagonist Produced by Two Different Methods",,"Completed","No Results Available","Metastatic Prostate Adenocarcinoma","Drug: 68Ga-PSMA-cyclotron Versus 68Ga-PSMA-generator","Evaluate Equivalence between 68GA-PSMA-cyclotron and 68Ga-PSMA-generator (wCV)|Evaluate Equivalence between 68GA-PSMA-cyclotron and 68Ga-PSMA-generator (RC)|Compare Dosimetry between 68GA-PSMA-cyclotron vs. 68Ga-PSMA-generator|Compare Bio-Distribution between 68GA-PSMA-cyclotron vs. 68Ga-PSMA-generator|Compare Whole Body Excretion/Metabolism between 68GA-PSMA-cyclotron vs. 68Ga-PSMA-generator","Weill Medical College of Cornell University|National Institutes of Health (NIH)|National Cancer Institute (NCI)","Male","21 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","19","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","19-11021092|7R01CA207645-03","December 9, 2020","June 30, 2021","June 30, 2021","December 28, 2020",,"February 3, 2022","Weill Cornell Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04685811"
9,"NCT02038673","An Open-label Phase I Study of Orally Available Novel Small-molecule Fibroblast Growth Factor Receptors (FGFR) 1,2,3 and 4 Inhibitor, ASP5878 at Single and Multiple Doses in Patients With Solid Tumors",,"Completed","No Results Available","Solid Tumors","Drug: ASP5878","Dose-escalation part and Expansion part: Safety assessed by Adverse Events (AEs)|Dose-escalation part and Expansion part:Safety assessed by Vital signs|Dose-escalation part and Expansion part:Safety assessed by Body weight|Dose-escalation part and Expansion part:Safety assessed by Laboratory tests|Dose-escalation part and Expansion part:Safety assessed by 12-lead ECGs|Dose-escalation part and Expansion part: Ophthalmology|Dose-escalation part and Expansion part: Bone density measurement|Dose-escalation part and Expansion part: Computed tomography (CT) Imaging assessment|Expansion part only: Echocardiogram|Dose-escalation part: Pharmacokinetics (PK) parameter of ASP5878 in plasma: Cmax|Dose-escalation part:PK parameter of ASP5878 in plasma: tmax|Dose-escalation part:PK parameter of ASP5878 in plasma: AUClast|Dose-escalation part: PK parameter of ASP5878 in plasma: AUCinf|Dose-escalation part: PK parameter of ASP5878 in plasma: t1/2|Dose-escalation part: PK parameter of ASP5878 in plasma: CL/F|Dose-escalation part: PK parameter of ASP5878 in plasma: Vz/F|Dose-escalation part: PK parameter of ASP5878 in urine: Ae|Dose-escalation part: PK parameter of ASP5878 in urine: CLR|Dose-escalation part: Pharmacodynamic (PD) parameter: Serum FGF23 concentrations|Dose-escalation part: PD parameter: Serum inorganic phosphorus concentrations|Dose-escalation part: PD parameter: Serum calcium concentrations|Dose-escalation part: PD parameter: Serum iPTH concentrations|Dose-escalation part: PD parameter: Serum calcitriol concentrations|Expansion part: PK parameter of ASP5878 in plasma: Cmax|Expansion part: PK parameter of ASP5878 in plasma: tmax|Expansion part: PK parameter of ASP5878 in plasma: AUClast|Expansion part: PK parameter of ASP5878 in plasma: AUCinf|Expansion part: PK parameter of ASP5878 in plasma: t1/2|Expansion part: PK parameter of ASP5878 in plasma: CL/F|Expansion part: PK parameter of ASP5878 in plasma: Vz/F|Expansion part: PD parameter: Serum FGF19 concentrations|Expansion part: PD parameter: Serum FGF23 concentrations|Expansion part: PD parameter: Serum inorganic phosphorus concentrations|Expansion part: PD parameter: Serum iPTH concentrations|Expansion part: PD parameter: Serum calcitriol concentrations|Expansion part: PD parameter: Serum 7α-hydroxy-4-cholesten-3-one|Expansion part: Overall response|Expansion part: Maximum Shrinkage in Target Lesion|Expansion part: Progression free survival (PFS)|Expansion part: Time to progression (TTP)|Expansion part: Time to treatment failure (TTF)|Expansion part: Overall survival (OS)","Astellas Pharma Inc|Astellas Pharma Global Development, Inc.","All","20 Years and older   (Adult, Older Adult)","Phase 1","86","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","5878-CL-0101","November 5, 2013","July 19, 2017","July 19, 2017","January 16, 2014",,"October 22, 2018","Site US402, Orange, California, United States|Site US401, New York, New York, United States|Site US404, Cleveland, Ohio, United States|Site US406, Spartanburg, South Carolina, United States|Site US410, Fairfax, Virginia, United States|Site US403, Seattle, Washington, United States|Site JP122, Chiba, Japan|Site JP108, Fukuoka, Japan|Site JP115, Fukuoka, Japan|Site JP120, Fukuoka, Japan|Site JP116, Hokkaido, Japan|Site JP113, Hyogo, Japan|Site JP103, Ibaraki, Japan|Site JP111, Ishikawa, Japan|Site JP119, Kanagawa, Japan|Site JP101, Kyoto, Japan|Site JP109, Miyagi, Japan|Site JP110, Miyagi, Japan|Site JP112, Nagoya, Japan|Site JP117, Niigata, Japan|Site JP121, Okayama, Japan|Site JP104, Osaka, Japan|Site JP106, Osaka, Japan|Site JP118, Osaka, Japan|Site JP124, Shizuoka, Japan|Site JP102, Tokyo, Japan|Site JP107, Tokyo, Japan|Site JP123, Tokyo, Japan|Site KR202, Gyeonggi-do, Korea, Republic of|Site KR201, Seoul, Korea, Republic of|Site KR203, Seoul, Korea, Republic of|Site KR204, Seoul, Korea, Republic of|Site TW302, Tainan, Taiwan|Site TW301, Taipei, Taiwan|Site TW303, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT02038673"
10,"NCT03157310","Bone Metastasis on the Survival of Gefitinib Effective Patients",,"Completed","No Results Available","Overal Survival, Non-small Cell Lung Cancer","Drug: Gefitinib","Overal survival of patients|Survival of patients with both bone metastasis and brain metastasis","Qilu Hospital of Shandong University","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","265","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017-QLH-11","May 1, 2009","May 1, 2013","July 12, 2015","May 17, 2017",,"May 17, 2017",,,"https://ClinicalTrials.gov/show/NCT03157310"
