,NCT Number,DrugBank ID,SMILES
0,NCT02179671,DB00317,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
1,NCT02179671,DB01248,[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
2,NCT02179671,DB11689,CN1C=NC2=C(F)C(NC3=C(Cl)C=C(Br)C=C3)=C(C=C12)C(=O)NOCCO
3,NCT02259114,DB15189,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(O)C=C1)N=C2C1=CC=C(Cl)C=C1
4,NCT02395601,DB14581,COC1=C(CNC(=O)C2=C(C)N([C@H](C)C3CCN(CC(F)(F)F)CC3)C3=CC=CC=C23)C(=O)NC(C)=C1
5,NCT03157310,DB00317,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
6,NCT03722576,DB15446,COC1=CC(=CC=C1)C1=CC=C(NC(=O)C2=C(CCC2)C(O)=O)C(F)=C1
7,NCT01533181,DB06075,C[C@@]1(O)C[C@@H](C1)C1=NC(=C2N1C=CN=C2N)C1=CC=C2C=CC(=NC2=C1)C1=CC=CC=C1
8,NCT01533181,DB06016,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1
9,NCT01533181,DB09069,COC1=C(OC)C(OC)=C(CN2CCNCC2)C=C1
10,NCT01533181,DB06261,[H]N([H])CC(=O)CCC(=O)OCCCCCC
11,NCT01533181,DB01030,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC(O)=C4CN(C)C)N=C13)C2=O
12,NCT01533181,DB16619,[Mg++].Cl.N[C@@H](CC([O-])=O)C([O-])=O
13,NCT01533181,DB00387,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1
14,NCT01605526,DB12755,[H]OC[C@H](NC(=O)[C@H](CC1=CN([H])C2=C1C=CC=C2)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CC1=CC=C(O[H])C=C1)C(=O)N[C@H](CCCCNC(=O)CCCC(=O)OCC(=O)[C@@]1(O)C[C@H](O[C@@]2([H])C[C@H](N)[C@H](O)[C@H](C)O2)C2=C(O)C3=C(C(O)=C2C1)C(=O)C1=CC=CC(OC)=C1C3=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
